Function                                                                                                                                                                                                                                                   Function Stack                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CPU Time  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Source File                   Start Address
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------  --------------  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------  -------------
pack_codes<(unsigned int)1024>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  11.510s  search_c4-10m   pack_codes<(unsigned int)1024>(unsigned char const*, unsigned int, unsigned char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           fast_scan.h                   0xd530       
                                                                                                                                                                                                                                                           pack_codes<(unsigned int)1024>                                                                                                                                                                                                                                                                                                                                                                                                                                                                       11.510s  search_c4-10m   pack_codes<(unsigned int)1024>(unsigned long const*, unsigned int, unsigned char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           fast_scan.h                   0xd790       
                                                                                                                                                                                                                                                           IVFRN<(unsigned int)1024, (unsigned int)1024>::load                                                                                                                                                                                                                                                                                                                                                                                                                                                       0s  search_c4-10m   IVFRN<(unsigned int)1024, (unsigned int)1024>::load(char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ivf_rabitq.h                  0xf490       
                                                                                                                                                                                                                                                           main                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      0s  search_c4-10m   main                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         search.cpp                    0x391e       
                                                                                                                                                                                                                                                           __libc_start_main_impl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    0s  libc.so.6       __libc_start_main_impl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       libc-start.c                  0x29dc0      
                                                                                                                                                                                                                                                           _start                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    0s  search_c4-10m   _start                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]                     0x43b0       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
std::swap<unsigned char>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         3.592s  search_c4-10m   std::swap<unsigned char>(unsigned char&, unsigned char&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     move.h                        0xba20       
                                                                                                                                                                                                                                                           pack_codes<(unsigned int)1024>                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3.592s  search_c4-10m   pack_codes<(unsigned int)1024>(unsigned long const*, unsigned int, unsigned char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           fast_scan.h                   0xd790       
                                                                                                                                                                                                                                                           IVFRN<(unsigned int)1024, (unsigned int)1024>::load                                                                                                                                                                                                                                                                                                                                                                                                                                                       0s  search_c4-10m   IVFRN<(unsigned int)1024, (unsigned int)1024>::load(char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ivf_rabitq.h                  0xf490       
