Function                                                                                                                                                                                                                                                   CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Source File                   Start Address
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------  -----------------------  ------------------  ----------------------  --------------  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------  -------------
pack_codes<(unsigned int)1024>                                                                                                                                                                                                                              11.510s                  11.510s                  0s                      0s  search_c4-10m   pack_codes<(unsigned int)1024>(unsigned char const*, unsigned int, unsigned char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        fast_scan.h                   0xd530       
std::swap<unsigned char>                                                                                                                                                                                                                                     3.592s                   3.592s                  0s                      0s  search_c4-10m   std::swap<unsigned char>(unsigned char&, unsigned char&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  move.h                        0xba20       
get_matrix_column<unsigned char const, std::array<unsigned char, (unsigned long)32>>                                                                                                                                                                         2.508s                   2.508s                  0s                      0s  search_c4-10m   get_matrix_column<unsigned char const, std::array<unsigned char, (unsigned long)32>>(unsigned char const*, unsigned long, unsigned long, long, long, std::array<unsigned char, (unsigned long)32>&)                                                                                                                                                                                                                                                                                                                                                                                       fast_scan.h                   0xd4b0       
std::__array_traits<unsigned char, (unsigned long)32>::_S_ref                                                                                                                                                                                                1.552s                   1.552s                  0s                      0s  search_c4-10m   std::__array_traits<unsigned char, (unsigned long)32>::_S_ref(unsigned char const (&)[32], unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 array                         0xd490       
_mm256_shuffle_epi8                                                                                                                                                                                                                                          1.196s                   1.196s                  0s                      0s  search_c4-10m   _mm256_shuffle_epi8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       avx2intrin.h                  0xd985       
std::array<unsigned char, (unsigned long)32>::operator[]                                                                                                                                                                                                     1.176s                   1.176s                  0s                      0s  search_c4-10m   std::array<unsigned char, (unsigned long)32>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   array                         0xd4a0       
_mm256_sub_ps                                                                                                                                                                                                                                                0.740s                   0.740s                  0s                      0s  search_c4-10m   _mm256_sub_ps                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             avxintrin.h                   0xbdb0       
_ZNK5Eigen8internal11conj_helperIDv4_dS2_Lb0ELb0EE5pmaddERKS2_S5_S5_                                                                                                                                                                                         0.560s                   0.560s                  0s                      0s  search_c4-10m   _ZNK5Eigen8internal11conj_helperIDv4_dS2_Lb0ELb0EE5pmaddERKS2_S5_S5_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ConjHelper.h                  0x4c80       
IVFRN<(unsigned int)1024, (unsigned int)1024>::fast_scan                                                                                                                                                                                                     0.488s                   0.488s                  0s                      0s  search_c4-10m   IVFRN<(unsigned int)1024, (unsigned int)1024>::fast_scan(std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>&, float&, unsigned int, unsigned char*, unsigned char*, unsigned int, IVFRN<(unsigned int)1024, (unsigned int)1024>::Factor*, float, float, float, float, float*, float*, unsigned int*)                                                                                                                                             ivf_rabitq.h                  0x10860      
